                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6255,                 2.0116,                 1.6611,                0.78723,                0.56209,                0.70943,                 0.3876,                 1.5668,                  1.622,                 1.5812,              0.0005538,              0.0005538,              0.0005538
                      2,                 1.6666,                  1.447,                  1.668,                0.70357,                0.76527,                0.82867,                0.47718,                 1.4566,                 1.2979,                 1.4473,             0.00099963,             0.00099963,             0.00099963
                      3,                 1.6117,                 1.3573,                 1.6197,                0.83198,                0.72535,                 0.8314,                0.46655,                 1.6289,                 1.1981,                 1.5659,              0.0013354,              0.0013354,              0.0013354
